S1_S0202,S2_S0202,S3_S0202,S4_S0202,S5_S0202,S6_S0202,S7_S0202,S8_S0202
0.348,0.808,0.924,0.914,0.752,0.092,0.313,0.496
0.348,0.828,0.926,0.925,0.764,0.092,0.314,0.508
0.35,0.848,0.928,0.936,0.776,0.093,0.314,0.518
0.351,0.868,0.93,0.946,0.789,0.094,0.315,0.528
0.352,0.889,0.931,0.955,0.8,0.094,0.316,0.537
0.353,0.909,0.933,0.963,0.811,0.095,0.316,0.546
0.354,0.928,0.935,0.971,0.822,0.096,0.317,0.554
0.355,0.946,0.937,0.979,0.832,0.097,0.318,0.562
0.356,0.963,0.939,0.986,0.842,0.097,0.319,0.569
0.358,0.979,0.941,0.994,0.851,0.098,0.319,0.577
0.359,0.996,0.943,1.002,0.861,0.099,0.32,0.583
0.36,1.014,0.946,1.01,0.87,0.099,0.32,0.59
0.362,1.03,0.948,1.018,0.879,0.1,0.321,0.596
0.363,1.047,0.95,1.025,0.888,0.101,0.322,0.603
0.364,1.062,0.952,1.032,0.897,0.102,0.322,0.609
0.365,1.077,0.954,1.038,0.905,0.102,0.323,0.615
0.367,1.09,0.957,1.045,0.913,0.103,0.323,0.621
0.368,1.104,0.959,1.052,0.921,0.104,0.324,0.626
0.369,1.117,0.961,1.059,0.928,0.105,0.325,0.632
0.37,1.129,0.964,1.066,0.936,0.105,0.325,0.637
0.372,1.142,0.966,1.073,0.943,0.106,0.326,0.642
0.373,1.154,0.968,1.079,0.95,0.107,0.327,0.648
0.374,1.166,0.97,1.085,0.957,0.108,0.327,0.653
0.376,1.177,0.972,1.092,0.964,0.108,0.328,0.658
0.377,1.189,0.975,1.098,0.971,0.109,0.329,0.663
0.378,1.2,0.977,1.104,0.977,0.11,0.329,0.668
0.38,1.211,0.979,1.111,0.984,0.111,0.33,0.672
0.381,1.222,0.982,1.117,0.991,0.111,0.33,0.677
0.382,1.233,0.984,1.123,0.997,0.112,0.331,0.682
0.383,1.243,0.986,1.129,1.004,0.113,0.332,0.687
0.385,1.253,0.989,1.135,1.01,0.114,0.332,0.691
0.386,1.262,0.991,1.141,1.016,0.114,0.333,0.696
0.387,1.272,0.993,1.147,1.022,0.115,0.334,0.7
0.389,1.281,0.996,1.153,1.028,0.116,0.334,0.704
0.39,1.29,0.998,1.159,1.034,0.117,0.335,0.709
0.391,1.299,1.0,1.164,1.04,0.117,0.335,0.713
0.393,1.308,1.003,1.17,1.046,0.118,0.336,0.717
0.394,1.316,1.005,1.175,1.051,0.119,0.337,0.722
0.395,1.324,1.007,1.18,1.057,0.12,0.337,0.726
0.397,1.331,1.01,1.186,1.063,0.12,0.338,0.73
0.398,1.339,1.012,1.191,1.068,0.121,0.339,0.734
0.399,1.346,1.014,1.197,1.074,0.122,0.339,0.738
0.401,1.354,1.017,1.202,1.079,0.123,0.34,0.742
0.402,1.361,1.019,1.207,1.084,0.124,0.34,0.746
0.403,1.368,1.021,1.212,1.09,0.124,0.341,0.75
0.405,1.375,1.024,1.217,1.095,0.125,0.342,0.753
0.406,1.382,1.026,1.222,1.1,0.126,0.342,0.757
