S1_A02,S2_A02,S3_A02,S4_A02,S5_A02,S6_A02,S7_A02,S8_A02
0.529,1.843,0.323,1.711,1.611,0.317,0.669,1.751
0.53,1.844,0.323,1.711,1.61,0.317,0.669,1.75
0.53,1.847,0.324,1.714,1.613,0.318,0.669,1.752
0.53,1.847,0.324,1.715,1.614,0.318,0.67,1.754
0.53,1.847,0.324,1.714,1.613,0.317,0.67,1.754
0.53,1.845,0.324,1.713,1.612,0.317,0.67,1.753
0.529,1.844,0.323,1.711,1.611,0.317,0.669,1.751
0.53,1.844,0.323,1.711,1.61,0.317,0.669,1.75
0.53,1.847,0.324,1.714,1.613,0.317,0.67,1.752
0.53,1.847,0.324,1.714,1.614,0.317,0.67,1.754
0.53,1.846,0.324,1.714,1.613,0.317,0.67,1.753
0.53,1.846,0.324,1.713,1.613,0.317,0.67,1.753
0.529,1.844,0.323,1.711,1.611,0.317,0.669,1.752
0.53,1.844,0.323,1.711,1.61,0.317,0.669,1.75
0.53,1.847,0.324,1.713,1.613,0.317,0.67,1.752
0.531,1.847,0.324,1.715,1.614,0.318,0.67,1.754
0.53,1.847,0.324,1.714,1.613,0.318,0.67,1.754
0.53,1.845,0.324,1.713,1.612,0.317,0.67,1.753
0.529,1.843,0.323,1.711,1.611,0.317,0.669,1.751
0.53,1.844,0.323,1.711,1.61,0.317,0.669,1.75
0.531,1.847,0.324,1.714,1.612,0.317,0.67,1.752
0.531,1.847,0.324,1.715,1.613,0.318,0.67,1.754
0.53,1.846,0.324,1.714,1.613,0.317,0.67,1.753
0.53,1.845,0.324,1.713,1.612,0.317,0.67,1.753
0.53,1.843,0.323,1.711,1.61,0.317,0.669,1.751
0.53,1.844,0.323,1.711,1.61,0.317,0.669,1.75
0.53,1.846,0.324,1.713,1.612,0.317,0.669,1.751
0.53,1.847,0.324,1.714,1.613,0.317,0.67,1.754
0.53,1.846,0.324,1.713,1.612,0.317,0.67,1.753
0.53,1.845,0.323,1.713,1.611,0.317,0.67,1.752
0.529,1.843,0.323,1.711,1.61,0.317,0.669,1.751
0.53,1.843,0.323,1.71,1.609,0.317,0.669,1.749
0.531,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.531,1.846,0.324,1.714,1.613,0.317,0.67,1.754
0.53,1.846,0.324,1.713,1.612,0.317,0.67,1.753
0.53,1.845,0.324,1.712,1.612,0.317,0.67,1.753
0.53,1.843,0.323,1.711,1.61,0.317,0.669,1.751
0.53,1.843,0.323,1.71,1.609,0.317,0.669,1.75
0.531,1.846,0.324,1.713,1.612,0.317,0.669,1.752
0.531,1.847,0.324,1.714,1.613,0.317,0.67,1.754
0.53,1.846,0.324,1.713,1.612,0.317,0.67,1.753
0.53,1.845,0.324,1.712,1.611,0.317,0.67,1.752
0.53,1.842,0.323,1.71,1.61,0.317,0.669,1.751
0.53,1.843,0.323,1.71,1.609,0.316,0.668,1.749
0.531,1.846,0.324,1.713,1.611,0.317,0.669,1.751
0.531,1.846,0.324,1.714,1.612,0.317,0.67,1.753
0.53,1.845,0.324,1.713,1.611,0.317,0.67,1.752
0.53,1.844,0.323,1.712,1.611,0.317,0.669,1.752
0.529,1.842,0.323,1.71,1.609,0.316,0.669,1.751
0.53,1.842,0.323,1.71,1.609,0.316,0.668,1.749
0.531,1.846,0.324,1.713,1.611,0.317,0.669,1.751
0.531,1.846,0.324,1.714,1.613,0.317,0.67,1.753
0.531,1.845,0.324,1.712,1.611,0.317,0.67,1.752
0.53,1.844,0.324,1.712,1.611,0.317,0.669,1.752
0.529,1.842,0.323,1.71,1.609,0.317,0.669,1.75
0.53,1.842,0.323,1.71,1.609,0.316,0.668,1.749
0.531,1.845,0.324,1.712,1.611,0.317,0.669,1.751
0.531,1.846,0.324,1.714,1.613,0.317,0.67,1.754
0.531,1.846,0.324,1.713,1.613,0.317,0.67,1.754
0.53,1.845,0.324,1.713,1.612,0.317,0.67,1.753
0.53,1.846,0.324,1.713,1.612,0.317,0.67,1.753
0.531,1.846,0.324,1.713,1.612,0.317,0.67,1.753
0.531,1.845,0.324,1.713,1.611,0.317,0.67,1.752
0.531,1.845,0.324,1.713,1.611,0.317,0.67,1.752
0.531,1.846,0.324,1.713,1.612,0.317,0.67,1.753
0.531,1.846,0.324,1.713,1.611,0.317,0.67,1.753
0.531,1.845,0.324,1.712,1.611,0.317,0.67,1.752
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.752
0.531,1.845,0.323,1.712,1.611,0.317,0.67,1.752
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.753
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.753
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.752
0.531,1.845,0.323,1.712,1.611,0.317,0.669,1.752
0.531,1.845,0.323,1.712,1.611,0.317,0.67,1.752
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.753
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.753
0.531,1.845,0.323,1.713,1.611,0.317,0.67,1.753
